School,1/1/2023,1/2/2023,1/3/2023,1/4/2023,1/5/2023,1/6/2023,1/7/2023,1/8/2023,1/9/2023,1/10/2023,1/11/2023,1/12/2023,1/13/2023,1/14/2023,1/15/2023,1/16/2023,1/17/2023,1/18/2023,1/19/2023,1/20/2023,1/21/2023,1/22/2023,1/23/2023,1/24/2023,1/25/2023,1/26/2023,1/27/2023,1/28/2023,1/29/2023,1/30/2023,1/31/2023,2/1/2023,2/2/2023,2/3/2023,2/4/2023,2/5/2023,2/6/2023,2/7/2023,2/8/2023,2/9/2023,2/10/2023,2/11/2023,2/12/2023,2/13/2023,2/14/2023,2/15/2023,2/16/2023,2/17/2023,2/18/2023,2/19/2023,2/20/2023,2/21/2023,2/22/2023,2/23/2023,2/24/2023,2/25/2023,2/26/2023,2/27/2023,2/28/2023,3/1/2023,3/2/2023,3/3/2023,3/4/2023,3/5/2023,3/6/2023,3/7/2023,3/8/2023,3/9/2023,3/10/2023,3/11/2023,3/12/2023,3/13/2023,3/14/2023,3/15/2023,3/16/2023,3/17/2023,3/18/2023,3/19/2023,3/20/2023,3/21/2023,3/22/2023,3/23/2023,3/24/2023,3/25/2023,3/26/2023,3/27/2023,3/28/2023,3/29/2023,3/30/2023,3/31/2023,4/1/2023,4/2/2023,4/3/2023,4/4/2023,4/5/2023,4/6/2023,4/7/2023,4/8/2023,4/9/2023,4/10/2023,4/11/2023,4/12/2023,4/13/2023,4/14/2023,4/15/2023,4/16/2023,4/17/2023,4/18/2023,4/19/2023,4/20/2023,4/21/2023,4/22/2023,4/23/2023,4/24/2023,4/25/2023,4/26/2023,4/27/2023,4/28/2023,4/29/2023,4/30/2023,5/1/2023,5/2/2023,5/3/2023,5/4/2023,5/5/2023,5/6/2023,5/7/2023,5/8/2023,5/9/2023,5/10/2023,5/11/2023,5/12/2023
University of Nevada Reno,204919,146350,299036,447172,819682,274753,501468,168079,273343,508824,452153,237792,864140,980216,148010,340348,480660,289026,201823,381773,336060,306945,1674031,1060181,859131,929730,495635,661311,356002,549315,880204,1544993,404182,611179,552557,160168,506263,815995,972656,444701,781352,699135,157047,395225,167567,352550,333434,177517,816156,148035,160859,788347,305075,314771,650622,527649,183932,1151371,465338,555170,267537,425729,1092103,404228,323672,728412,297429,1233460,222016,163613,1125158,784780,917240,2887447,593999,666937,531115,329568,197861,97945,384486,331749,310369,233229,257427,321823,671471,286597,297052,301973,259668,186002,548195,284231,247370,534950,111303,101608,274321,126472,558294,207911,222085,299204,249788,200930,368417,2510145,946925,483557,797998,439914,144695,240909,263384,296547,322390,475196,203582,163898,200723,280211,213517,632979,312262,265148,167581,629159,307383,459359,665738,297004
University of Virginia,440685,626325,1403101,831377,878429,1074295,2150782,858655,874224,2899580,1534835,1314953,1015593,1559764,799634,1045987,1133734,2965572,1570613,1757570,1907852,832776,1231288,1204542,1002985,1035235,1017231,2447018,3391830,3611442,1567102,1323916,1071438,1049491,1726747,707754,996531,2148449,1117413,1334073,1652859,4823329,1264846,1619904,1768718,2344155,1446236,1464936,2500493,1358188,1071930,1573697,2158483,1935183,2388524,2330634,1172651,2420827,2615651,10046809,9769432,2276411,4274927,1901020,2850559,2845524,1821916,5149051,3719505,3654613,2720999,1546932,1425097,2377283,8685312,1723955,2188035,907857,935566,1323793,1457596,818109,1585875,1015849,2098772,1283462,1583539,1092068,1501923,1133270,2708600,1725039,1154906,1281100,864442,1552735,1639533,1154343,1193551,993539,1614791,1435844,2329257,1970851,1774409,1579752,1256349,1498620,1984577,2257680,2519381,1397248,1881505,1463977,1106694,1235125,2012035,1927096,4459078,1350089,5095567,1482098,2552705,1118658,1205322,896825,1694879,1178840,1299262,990873,745797,1559215
Arizona State University,252455,510876,2112199,1709877,2222589,1030202,572788,3162810,2660076,1751917,1405342,3032772,3749922,1576335,1184129,1352384,2028548,2396329,3469967,2435546,1543791,706249,1931012,3034627,1860757,2108103,2971967,1457227,1100494,2387286,2362340,3714802,4121526,2573652,2456996,1155006,1554368,2914489,1845250,2069322,2034869,1599250,1195183,2522647,1295556,2176480,2002109,2218024,1748918,1447782,1549926,2255518,1633610,1368147,1733156,5581379,1134435,1801049,1461338,1422236,2785871,1342798,803296,1027548,1032383,1354845,2250505,2895604,3183970,1206229,2600994,2175367,2114494,6164291,3300226,3401700,1953881,918036,1154744,2206766,1116141,1516182,1121460,614762,514280,985564,1333710,1577495,2282717,1743203,748726,367488,946188,1548835,1302349,1203752,1312343,617008,1147926,1473758,1402582,1120570,1471614,1947720,626103,467096,1128364,1100147,1156974,1173407,1865874,538076,447009,1711060,1601834,1664587,1493783,1467928,1237514,565960,1652921,1689143,1859044,1540024,1337666,577858,519940,2285801,2253595,1874722,1265272,1223589
Duke University,2795925,1346653,932350,3392218,1380584,1939284,4182780,807122,1716906,1752935,4073477,2599830,1188409,3080010,863629,1583379,2197540,1645332,1753718,2000257,4730921,1286794,5425016,3129722,1574332,1903747,2104613,6605449,1590457,2152757,4997972,3021150,2584434,3637896,10658781,4450292,4876994,1770096,1661655,1913119,1810428,5402949,1006403,2144050,7365349,2858087,1299119,1494262,4283283,2803868,4932089,2887626,1604869,2011374,1408547,5354894,3043162,1533571,6522492,3802047,1998206,3074328,7743361,3205032,5400391,2408676,2498195,7041466,7802883,11954068,9063425,2716953,3293612,3437627,9907281,4952341,11474323,1211355,1772640,1872212,1547477,1412820,2315609,1030009,636065,2338025,3057749,2136569,2498583,2827104,2078249,873861,1129379,2665722,1886923,1653853,1285047,943145,9293258,2338405,2877673,1705478,1868885,2119548,1756512,1224793,1566907,2051613,18340808,2479355,1569085,1715301,1557159,1488116,2096789,1701682,4985758,1931202,1062485,508568,1181507,1696718,1297587,1154613,2730307,1251143,2281760,1571942,1919757,2996641,1775198,1195512
Utah State University,181985,280638,663341,478244,229886,129595,425858,181784,268166,515198,574522,398702,473301,320123,179059,279732,706260,539623,557939,392385,732998,155802,223288,143671,335226,470222,234750,617476,136341,573796,417947,802904,748025,305874,723317,1130844,933596,196201,674929,489333,245200,466982,160144,214776,570161,346020,543223,525940,737535,312374,204840,809176,522287,552496,333516,177981,112238,164786,273309,684448,1141209,317679,801970,542160,199363,605749,377454,386949,1393694,2396926,880111,523269,489223,726061,3972229,281315,255856,325539,260332,344785,236434,202433,343445,151167,43171,254172,321179,388759,379664,389273,136481,163965,248752,533058,263912,435364,1162599,291524,125712,507908,389595,274096,440956,297274,176779,132678,342649,347339,325822,289820,155639,201148,71132,414297,292318,246417,383239,255030,129544,149904,327046,433048,330783,398018,208163,201187,102075,224700,134841,329786,267181,184135
University of Kansas,478100,957544,2287038,1214471,1824076,1291859,2016510,622391,1422053,3031313,1345762,1146637,1027800,5030108,1487184,2063824,4838806,1621513,1160438,947143,2929535,1112447,3538427,1093930,849979,1269181,1114021,4545494,1786566,1777501,6867330,2796131,1480508,1376180,2312656,679378,4763678,2039542,920741,1114741,973873,4708511,1341402,1970472,4446249,2224821,1627169,2598146,8058213,1588386,4454084,1910650,1435138,824449,1657214,4484508,1074691,1818819,6076463,4814777,2108914,1946889,2493701,2265345,1398493,2031299,2394930,8339760,6697638,5354718,5393704,1419797,3214860,3587408,8422937,2257446,11517728,2891898,1396325,1116482,812047,1180744,819747,644956,648985,800313,988260,1072685,967460,1647095,3582286,1030636,1640807,1666159,2101810,2161912,1973980,1157179,704965,1024017,690204,820062,863534,1324685,945064,286415,905501,1081810,912815,698676,1315195,337279,242476,976124,1492741,1155133,1312453,940781,339590,201197,1703762,1768473,1433700,3312485,2512768,756224,687449,811943,808083,1343441,745106,952515
North Carolina State University,297567,340837,791320,3060266,1073061,995071,1591289,450613,680608,507661,748564,489479,811141,2320645,496701,765310,1879575,983528,1350171,826271,2629012,1073737,866961,1907375,999036,868916,968898,2160981,738905,1029518,923797,1871079,960051,741358,1789927,580347,1791232,1688313,791990,1178200,2570831,2197934,868595,1060493,1836790,1164134,1074465,1421626,915069,4189356,1602743,1321949,2828785,1501925,944580,3700945,1019093,934523,1474738,844153,628230,469937,475976,348817,1393074,1317205,2350013,2357175,637883,403527,2071277,1012341,760157,1022332,1010650,3111393,486525,302429,884370,1250133,11442816,913505,1350158,253282,204876,584584,879214,889550,658108,653076,383605,542515,1527891,1778483,1022973,1472028,1068652,722079,287640,656065,893658,852558,1015486,1127164,211877,307336,945046,1050397,960421,969108,801879,384523,645363,987557,881640,718099,1341840,1158129,455576,414510,1349719,808108,605511,593489,708967,826753,199710,457685,618646,888364,1302476,559827
University of Miami,655605,1166659,939741,3038425,945609,508068,355473,411045,1831411,1405718,3990184,2577368,2310664,1746485,1039639,3106465,2125124,2577897,3185404,2918599,4345249,1696000,3359321,4859588,2418073,1718867,2968422,2225243,656689,2173029,3835117,2436545,2384854,1204647,2649023,931652,7872340,3203076,1849671,1777479,2008347,3124425,1196811,4751970,2069030,1872907,1919234,2153559,4023634,1136987,2183802,3760471,2490312,1485923,2364999,3198120,1417194,1761092,1800138,1734819,2273426,3096559,6585020,2742390,3955567,2430709,2023856,4197774,4927615,754169,2435346,1560184,1721686,2661314,2318357,7341986,3004029,9990459,7736199,3736207,2636196,2788870,23522518,7823296,34619373,9122038,5410292,6532753,5358795,7689000,18807645,4804405,2872337,2271230,1580541,3242682,2609886,1722527,1171238,1978012,2975267,1965916,1851219,2002879,1201451,966348,2899924,1816125,1636704,2269965,1377823,971628,691709,2611139,1756192,1536273,1375234,1135310,1331159,838494,2064046,1627362,2205937,2567400,2214889,908315,1968710,1730892,1877182,1955124,3099937,1916874
Providence College,1382452,484709,131147,2974363,1282092,316847,1285552,439076,425055,155629,221910,573647,539443,895632,208655,367336,166808,986743,350257,376670,1194253,154978,245726,515326,752944,387500,481350,348781,1574346,665482,382245,1704840,348233,617197,275804,183719,326906,289777,1064800,715637,297696,851487,109901,274817,2024606,951009,331587,310898,2170723,630439,756282,414554,1215567,380676,398393,231103,1610091,543482,252289,1475855,309666,505339,1310888,488864,406470,498425,695128,1587954,523019,169669,1614823,523450,639736,498211,972862,3285726,704385,289144,4107974,1487161,985679,3716710,447492,581058,384811,740289,584664,1841824,842261,675657,539762,328590,565840,725102,220092,245848,259733,299326,206507,247436,164083,464252,520381,377148,167731,225092,121817,189028,165418,218766,323865,184386,38955,414243,499950,205021,161528,291814,217122,179310,379424,441352,212552,111336,311597,65079,105946,156770,155336,163065,213776,113632
Xavier University,267827,611415,189102,268843,203376,338001,1110867,140677,319055,279630,1798568,450815,419652,278813,1835955,362649,385228,1075614,437055,258361,1099116,139560,224298,855397,2431638,648387,183568,1016296,89336,333356,264334,2133263,228022,267203,1177832,143975,1511144,161670,331100,435502,1635901,309357,140367,220019,276208,1469862,214764,268366,1367998,216823,230431,1501832,498450,660026,1632575,347327,222863,398459,322666,2381901,807032,426529,1282424,441812,533936,382103,567183,1896395,1732102,2301535,1079912,557295,552495,516406,1005804,3748162,642091,6052694,719221,747136,767103,965356,4003681,1489341,73322,153804,471035,383787,120870,146443,71655,76047,294691,310224,565321,232124,74092,64718,74411,409595,307130,40459,254554,405673,198545,260991,212575,434270,204433,241179,310210,185853,135960,299473,323821,305384,401329,219705,135874,159196,317664,240286,199059,257162,215904,89311,175477,627911,818863,984130,198267,280486
Indiana University Bloomington,354037,417604,433739,714090,2735826,523172,421644,2857172,1093730,690716,2224520,1039771,577196,3600430,587269,717102,569872,1503719,3525547,1409963,337912,3379382,1475295,1271343,3112783,1867783,901010,2250083,720178,2312607,3133531,1228917,1713541,1908001,9866977,2456381,2875328,5031903,1416044,1434805,1022821,2755464,700935,1935660,797779,2788811,1652263,1181321,3439239,1002187,1455395,4156321,984196,1095153,1605759,7023264,1698012,1402451,3648784,1337722,1090210,1149634,1346039,4126113,1321496,2574778,1606351,1356464,4624774,3776418,2511235,2298749,2236239,2082129,1611482,4025509,4590825,5389173,2178388,1157828,1045006,1292104,781996,667909,518590,922140,1397843,937157,1672830,1172390,1224198,428007,1215192,1594325,717179,636697,752651,491018,411003,1594981,843925,692605,440901,671145,477261,401985,609186,632989,1130579,822112,723823,589264,263746,1001228,1045699,1126982,540746,870306,546843,260456,547755,470668,812031,632154,1117627,1555835,394527,487860,1057252,923101,705212,2592309
University of Maryland,1537863,564933,1124952,586869,1404716,956151,653458,2076229,965236,1427869,776888,987466,1455268,661784,1381689,1393138,1047258,1198833,3353829,1762281,397284,2094073,1299877,1581337,3764614,2038027,2593192,3006526,1012879,1825806,3472618,2270504,1670649,1155605,2133792,1303037,1485670,2408152,1165959,1290930,1552416,3212824,1284190,1680041,1760925,1590588,9636062,3444678,1345750,2981688,1723550,2250883,2858324,1503556,2257059,913997,5551261,3180749,1915715,3248131,2097951,3880950,2293670,3258047,1032330,1961374,3344355,3935800,3752469,1152800,2910313,2047795,2468649,2725001,13803347,4084171,4169688,3063496,681140,1598677,1305858,2696862,1335704,2392564,1592923,2222560,2187933,1902668,1721596,989340,980604,416363,987937,1026207,1889591,1687277,2664922,856699,766542,2297709,1622566,1392870,1150136,1392267,889160,848361,1714895,1370047,1223062,1119969,1077407,1088369,1527631,1456045,1615378,2353070,1977189,1329900,3372688,1313825,1251573,1308972,776425,1817529,1226000,735510,600024,1312390,1353590,1327471,1399449,1100029
University of Illinois Urbana-Champaign,698722,602861,653105,1698753,1143973,1373382,2195398,691524,886242,2108690,1315593,1216147,3260815,993279,547726,2497450,1233513,1621725,2588899,1347599,234270,363620,971493,2318549,1231396,1054641,1312351,2379148,473250,1277835,2836954,1537646,1094329,1326187,1484627,601565,1995807,855800,901776,1159439,1294535,2319251,523285,1229042,1616680,972030,895983,1512637,1854004,846231,3031073,1191610,1361492,3968896,1737159,582057,1773647,1132308,1133143,1060906,4990112,2025760,524065,2064154,1303449,1294305,1075718,3066482,797897,661828,1349167,1559498,1208069,1799964,3427002,666188,354575,377354,898413,952265,852115,960510,977340,221700,786095,881267,1361475,987535,2001603,965470,633291,477682,840927,950655,994754,1428550,1290293,656122,317950,715787,1246273,772295,907387,830244,201137,289741,743775,904433,1280960,1129255,1353636,494113,626367,857268,1468199,1263020,1132026,839092,474173,390014,810759,840135,1007162,983726,606427,205787,416674,1221238,987091,890428,759902,600821
Michigan State University,618019,1032005,3682038,1517571,1355579,1576897,6902579,989190,1331977,3814827,1969353,1293027,3316220,854510,650419,4650873,1436851,1647144,4926175,1447343,608465,2294220,608087,1620723,1962255,5682597,1750065,921357,2261804,1431824,1164201,1574535,1264437,1016438,3493768,354912,1114007,2989634,1962991,1577768,3988152,1009943,3834661,217975162,363527007,61121856,27195047,12254603,12016794,10456280,6974201,8221675,5553073,6369139,3379598,3483936,668614,2014090,6315375,4608007,3712459,2771529,6898951,1966200,1695699,3062499,3051013,2225459,5276226,1062992,4746889,4167412,2727060,2280142,2830986,9378248,2186161,20483305,3684323,2637073,4357026,15373928,3142000,798018,1439890,1383878,1242728,1498850,2639190,3740788,1091533,434961,1733494,2217674,2546732,2002308,1114851,724653,456617,1414732,1659197,2124785,4615992,1726754,1046834,423400,2157789,1525726,1078297,2374100,1825351,450521,528504,1038850,2152488,1331391,1965754,1051632,1097772,689489,1798320,1627650,1261577,1521826,1960006,2684424,4519029,2175121,1689098,1159458,1422874,1085320
Northwestern University,434858,260934,643447,1439824,1015535,649525,387050,2796641,752221,1082306,2288736,1605181,940366,391553,617253,601020,1617315,1002809,1477889,1156186,598611,691453,1889437,931872,1445232,1042010,1119585,2233552,870670,1085053,1704264,1360749,1881361,800935,428345,1755476,1864920,1813271,764976,2143577,1025096,501554,7013412,2047816,912904,4707522,4118217,1742333,854961,3073221,2561852,1284712,1220290,2450736,1068542,417899,1230014,776921,945156,1429656,1946820,724857,503152,2763063,1561332,3550160,1702281,1403865,2591532,439428,1981005,1441366,1283620,1685007,6715681,2102672,4965730,1757298,976808,832007,735401,893679,960742,355265,425367,672510,1167947,959318,1407564,653693,605461,412547,795452,1949361,1238037,1186787,783524,437507,370245,831186,848543,3943589,3718357,1121507,374450,673568,931931,721626,1426176,856844,1225862,562297,619369,1087294,1174277,1126466,1175938,1034499,752746,589713,1367840,1023859,1528874,3712896,2012089,532692,479908,1143370,2587118,1069749,708601,995271
University of Iowa,780015,326773,1895179,728564,3399618,1669827,695684,1938659,954380,572227,475980,3348684,654256,594501,1419799,1120704,1938286,1300012,1081845,624294,968031,464179,820336,1040253,841657,2053256,1837702,906385,2055209,822523,2554925,4667525,1782266,1043722,4059270,851693,807855,1106858,1466084,1783636,775919,431372,1675630,481609,1076133,616720,2174373,1642490,463528,1436993,1117809,693863,1647718,571245,733720,4597392,1975231,1362828,3310146,1037499,832531,1036771,662836,3758151,2337361,1902590,1034197,3901975,917309,386514,1659716,966882,926790,1078072,2912323,2324172,1764129,803995,679728,897824,705084,733773,1013998,799603,1522866,1607880,1162892,1953913,2196199,4437562,2620447,5424751,5633203,2830619,11488902,3489620,1546152,1360995,320918,836062,648433,1215776,1034261,1132946,1039772,587753,1464286,2605053,18460448,5150716,1257256,1346146,701388,671974,1465651,1223254,1118872,1267876,942972,726514,1242386,1154833,1222749,1169411,1171998,1602548,967351,2559431,1592393,1495030,729108,837657
Boise State University,260060,119903,556717,372180,252494,335309,991456,256051,446063,461332,746187,1131961,499528,484737,483774,507433,1312900,856351,426773,674584,1025946,162025,501151,1113231,548708,503269,762686,939025,225805,523563,842183,1316182,568716,783875,336976,324539,537811,391837,427181,534264,698382,1133287,413793,491572,355182,804250,1005351,598148,434888,1068094,445468,410068,751256,1184804,519283,559491,288404,840750,1937750,2786098,1858764,874071,735350,576206,704082,611215,574281,1492055,759309,662029,970840,355002,807203,984589,2448710,681389,499784,240903,436992,511408,419139,412003,309122,355476,180596,477300,560036,522491,649671,749375,694649,213923,433084,526498,543462,506283,501668,513253,207933,386234,608164,771126,499676,540567,229257,271017,678480,446320,710346,749898,758002,425615,306623,791192,671459,387893,504761,513737,771136,430476,360224,277050,362628,647200,703954,913876,245237,335324,367270,445611,451820,418995
Baylor University,364072,659529,748992,2299983,744382,690356,1403437,373879,1121127,656630,1595216,1051726,922151,1568239,649130,1205700,1933690,1410372,990910,920957,1765032,965734,4691769,2314109,1096697,967523,1161203,3131279,712023,3284412,2321585,1426210,1053166,1593101,3559749,753839,2077519,1296096,1808551,1134065,1478046,2553093,683591,3935890,1385610,1177742,1176186,1931444,3213621,724487,2595571,2514915,1021474,771775,1412617,3775999,842774,3052070,1291656,1665075,1093661,1153613,1739215,2054902,918904,1461481,1088714,3015150,878972,368621,1630431,878890,1305488,1302069,1373007,4165935,2066038,3764121,1452999,910935,1366310,1145821,999360,821697,1429728,775511,1224981,912488,903224,875778,611991,304160,601072,1024442,940933,1501901,831405,653403,784588,479149,909036,747535,825204,849967,1085646,420196,1134035,1033385,2169645,1378053,1040824,1297242,335503,829941,677078,1023356,752136,596282,1045328,417427,792851,884102,980571,1789174,843648,1086033,531907,1069636,880639,1001573,678051,932519
Grand Canyon University,167417,189988,205276,197864,651974,365420,377199,185334,321752,346262,158726,827283,364674,334394,315585,199187,228152,556004,431462,253253,377021,139672,299483,221800,417638,986337,323676,333064,260089,291915,303798,475287,342072,410430,593344,265425,318970,338849,706390,492467,242955,474937,192217,320515,375739,614145,544620,587330,646056,325585,242817,299586,224717,357443,830516,270259,285064,392761,247362,567819,431648,749238,370253,323781,367201,797371,424085,1047005,1379746,974211,4076530,744753,448001,829415,1076819,2939900,469947,170737,315451,252151,402092,309647,184499,126039,80855,130620,220527,186735,233777,202275,309795,146643,289801,254003,225229,579400,115583,213410,266521,472704,314703,201302,226553,247830,156346,209650,240586,376125,217738,237163,359047,476575,269083,301120,281487,149564,181398,471912,204934,220048,371794,475682,265897,302131,267520,130798,100292,235642,235465,266022,319477,308047
University of Texas at Austin,651491,1707147,1455607,1613120,2798484,1757047,1598082,411238,1764888,1245922,4233216,1856032,1240488,3119385,1222861,2018690,5341986,2191129,3293725,1629643,8211396,1193794,2788403,3203551,1690597,2742550,2030224,2749554,746609,5746177,4009843,3876191,1600808,1132122,3994323,1034747,4106412,1878700,1345310,3649690,1845214,3020849,1097862,3078511,1660975,1746869,1619416,1420345,2960716,1148432,2698229,4137986,2336592,1615003,3574101,2766559,1106318,2765664,1877582,2811846,2696650,1983985,5217751,2218642,2219590,1839750,3470854,3512974,4719773,16645327,5165976,3037591,3156504,3146591,8252448,2962674,15114445,3642009,2597923,2838276,4415485,4733731,10990925,14478816,20025327,8526296,6178887,2911181,2677497,3848669,2094122,1191756,1817749,2401128,1959366,2631484,1544942,949249,756469,1610599,1694741,2514566,2058181,2324273,2877206,1357785,1399234,1492093,2507574,1902876,1611596,1362624,1286113,2017439,2861971,1656187,2334410,2534869,1565711,596803,1960212,3320770,4421049,3620511,3366336,3543314,1494848,2201430,2216483,1754966,2190440,2257137
West Virginia University,17740,0,33534,1058,50105,49608,77630,22210,41448,44915,39221,30478,16685,17530,4531,59626,47689,88605,79654,70839,44889,9801,38045,1508,40150,11005,17207,174552,44962,135311,117946,85318,61610,1361,885,1189,80877,143759,138438,98923,47120,103376,19552,169422,1215,2511,2442,2385,5504,9605,19742,39342,55670,21006,245615,138567,95199,184834,48178,9488,22911,37231,197974,32136,84495,30632,63013,633756,21702,52515,105814,135329,74984,319793,873523,72067,16014,717,8669,544,287,9577,10891,45005,0,9959,0,173,0,415,10910,0,10878,25953,23075,48703,141511,2531,8268,0,0,294,0,14214,70603,6745,1215,18712,155687,11949,15384,0,8979,0,8182,9444,0,32980,2882,0,0,1674,0,69747,1150,27324,1580,27205,74643,268152,22714,4352
Texas Christian University,2705048,1097807,591032,2141566,1753726,2520278,2369529,2154717,14568287,2341978,1100111,1906643,582441,1305870,289613,774801,564734,963464,349778,658831,3152075,487934,1059398,1660221,1142810,844382,409529,937438,134523,918010,1531271,986987,769182,382788,1247858,1102632,587191,647584,386639,346644,411352,733373,102522,470949,173281,566194,421842,485460,968802,770701,2045804,707299,584071,343819,702980,1299915,228720,488667,674780,1733785,794884,576896,613557,238657,502693,623599,625010,1772385,1970446,453914,1538924,475995,539275,729915,629442,1342424,3720028,2164041,1021484,1038099,542607,11519076,1855631,666727,255057,652266,596068,592056,457392,482439,552596,255242,98174,279547,187180,380209,342408,187175,284910,89699,451792,517070,498116,600813,284168,103471,118883,219791,343233,332763,322679,215986,130344,340805,187388,350344,463820,372634,1625371,751985,397112,336568,436699,330901,467796,436924,151923,365968,134580,222289,346119,559891
Mississippi State University,817327,8900251,1006873,1751283,437441,994619,2328912,432262,459467,801412,1076657,774567,3043031,1523328,330856,777061,1114561,773997,631378,761741,1149261,402036,633028,632001,1242996,798864,803648,2336781,1041898,464147,1451212,2690465,1043493,1085972,1884760,869725,1603523,1110565,1931432,1470286,890843,3189699,857572,1275741,1373902,3156889,1073463,1012869,1960184,1183386,920035,3340761,1433020,1233943,1104562,2846045,939939,769669,2200871,1205795,918113,964119,1120598,501735,938355,931233,1333962,3396961,2019697,656079,2003267,1237681,3857735,1580656,649776,732697,481131,791456,433441,635157,826652,532599,848519,895153,462853,603377,690204,481880,871556,1363829,549236,401690,692677,633305,512924,703922,410099,375986,423063,571403,938993,830314,936409,1486454,1722141,1127158,810576,697939,594451,651612,846690,391827,242342,1277193,945386,678843,729894,741254,677848,306956,495589,667172,945594,807063,1869115,811810,267565,565095,784808,677457,739745,1424216
Kansas State University,623311,346353,2606793,2029955,383171,672694,3365491,1189835,2558778,3585797,1704894,827328,774166,1203591,217555,990199,7959455,2448328,1413201,1214523,2689723,514419,2067017,2610242,1244833,474145,639066,2853548,911001,1203929,3895651,1235238,343988,602119,2266541,211676,758281,2595795,1164576,927225,723284,1210052,273303,647692,1585000,707565,962213,826106,2252670,370985,686758,3078040,1582444,433107,917154,1987964,498957,1239354,793967,2288178,1369957,819446,1571905,2440495,913671,1019423,922374,1596765,999391,168335,1518320,1156428,1324301,1046604,1094509,2927180,3461238,16673410,3720418,2508633,4883573,24134665,8974799,17334320,2005759,1158908,521415,631000,582095,871419,1306954,2063547,855413,834525,488416,968432,494128,406298,145980,307878,279144,774489,305663,365370,240966,425751,492495,727059,498192,812403,889016,359243,91295,346669,793602,988534,609704,495252,470409,251592,493246,864184,532659,674016,552811,176187,164348,526888,956498,427022,509762,370953
Virginia Commonwealth University,292163,225482,198222,538006,351321,265404,479109,102475,328475,828070,505672,260521,1074946,445746,168610,295335,717613,465239,315385,1057235,244185,132867,374024,343052,688204,316482,506563,756553,42486,244437,1161125,418899,393838,983922,127385,124460,863433,1121421,1270117,541443,507652,209290,62905,357095,304789,977195,397200,448044,786813,214096,385546,735198,340589,253046,1083925,255983,314587,460505,1102590,510227,361816,375863,446539,153107,296982,1048719,591719,1116096,536852,1892342,5052957,843326,695989,972093,1010123,2808305,157088,55967,235962,402497,215262,440960,262517,145666,137657,713216,380953,4175671,6636820,3725903,811107,173220,719911,481262,315255,763332,302132,864096,132874,313121,260036,273863,345204,402451,239165,36899,342157,734652,806908,291978,513494,117517,147259,434797,611930,1577457,896259,421197,169446,66998,568478,572000,936486,246938,1165594,204259,145379,705561,423974,803904,369407,590152
University of Connecticut,305455,662453,835630,2643313,920492,865926,2664221,380782,808396,1068096,2241752,733998,931234,955932,1547166,602082,1196686,2510938,817199,1143181,469825,1642601,875944,1201654,3031599,1257465,964261,415211,255077,622113,1433696,771179,601231,769921,1657285,773183,809160,3267703,1030435,1150336,864241,1602336,339308,676045,701738,1158479,1140064,990635,1776832,343550,783748,1256793,3706822,1226399,636004,2725953,660401,1230705,770232,1947979,709861,715477,2328191,767331,1806007,978035,1507062,4319128,3318748,551273,1500637,1383930,1271185,803453,1688989,6153885,2029304,6947495,3304412,2398728,2132729,11677767,3790878,14721025,6585744,3813242,2779733,4124715,5374647,4700227,24773654,11216986,47449124,49749780,5821576,4048792,2889720,4734120,3150510,2324133,880092,2252384,2865038,1782804,1163772,648906,884615,1253268,846133,806598,902415,714773,390095,804639,977529,1127113,768880,986322,523637,301987,601877,979547,1101993,861765,1319338,693110,6549590,3408680,803429,1259620,884664,1032430
