Date,Time,Team,IsWinner,Seed,WinningSeed,LosingSeed,WinningScore,LosingScore
3/19/2023,06:10PM ET,Saint Mary's College,No,5,4,5,70,55
3/19/2023,09:52PM ET,Texas Christian University,No,6,3,6,84,81
3/19/2023,02:55PM ET,University of Kentucky,No,6,3,6,75,69
3/19/2023,12:10PM ET,Pittsburgh University,No,11,3,11,84,73
3/19/2023,08:06PM ET,Fairleigh Dickinson University,No,16,9,16,78,70
3/23/2023,10:04PM ET,UCLA,No,2,3,2,79,76
3/23/2023,09:36PM ET,University of Tennessee Knoxville,No,4,9,4,62,55
3/23/2023,06:30PM ET,Michigan State University,No,7,3,7,98,93
3/23/2023,07:15PM ET,University of Arkansas,No,8,4,8,88,65
3/24/2023,06:30PM ET,University of Alabama,No,1,5,1,71,64
3/24/2023,07:15PM ET,University of Houston,No,1,5,1,89,75
3/24/2023,09:59PM ET,Xavier University,No,3,2,3,83,71
3/24/2023,09:27PM ET,Princeton University,No,15,6,15,86,75
3/25/2023,08:59PM ET,Gonzaga University,No,3,4,3,82,54
3/25/2023,06:09PM ET,Kansas State University,No,3,9,3,79,76
3/26/2023,05:10PM ET,University of Texas at Austin,No,2,5,2,88,81
3/26/2023,02:20PM ET,Creighton University,No,6,5,6,57,56
4/1/2023,09:16PM ET,University of Miami,No,5,4,5,72,59
4/1/2023,06:09PM ET,Florida Atlantic University,No,9,5,9,72,71
4/3/2023,09:20PM ET,San Diego State University,No,5,4,5,76,59
