"","year","team","game","win","lose","tie","run_scored","run_allowed","batters","tpa","ab","hit","double","triple","hr","bb","ibb","hbp","so","rbi","r","sh","sf","sb","cs","gidp","e"
"70",1992,"Giants",126,71,55,0,663,581,1616,4904,4205,1213,211,62,68,483,14,59,542,619,663,103,53,130,55,90,87
"71",1992,"Lions",126,67,57,2,633,636,1719,4921,4250,1128,169,23,124,494,21,73,620,585,633,58,44,127,61,95,122
"72",1992,"Raiders",126,41,84,1,508,686,1604,4766,4081,1015,167,29,90,528,24,54,748,459,508,77,21,89,53,138,135
"73",1992,"Tigers",126,71,54,1,701,571,1525,4903,4183,1139,191,16,138,559,14,70,656,658,701,54,37,134,57,114,105
"74",1992,"Twins",126,53,70,3,572,616,1592,4841,4261,1094,172,24,108,439,21,46,570,539,572,64,31,89,55,111,125
"75",1992,"Unicorns",126,56,67,3,518,609,1587,4745,4143,1061,204,25,87,406,11,48,620,464,518,117,21,72,49,94,99
"76",1993,"Bears",126,66,55,5,473,405,1672,4740,4131,1066,176,34,59,403,16,48,611,442,473,118,39,86,49,104,98
"77",1993,"Eagles",126,61,61,4,454,491,1671,4715,4119,982,180,13,81,433,16,54,743,427,454,73,35,96,50,94,99
"78",1993,"Giants",126,62,63,1,452,462,1604,4675,4077,1013,160,38,29,389,10,53,563,422,452,114,41,174,79,75,95
"79",1993,"Lions",126,73,48,5,613,433,1667,4999,4369,1169,169,22,133,465,13,66,662,592,613,53,38,102,73,105,97
"80",1993,"Raiders",126,43,78,5,366,551,1541,4546,4005,903,138,14,46,392,12,53,733,342,366,74,21,117,80,88,93
"81",1993,"Tigers",126,81,42,3,513,420,1496,4711,4102,1030,169,12,95,452,6,48,606,465,513,71,31,161,73,107,110
"82",1993,"Twins",126,66,57,3,496,440,1645,4730,4182,1069,176,32,74,376,17,55,594,463,496,91,26,117,62,95,100
"83",1993,"Unicorns",126,34,82,10,342,516,1435,4532,4025,913,169,15,35,343,17,39,776,314,342,104,21,80,50,100,104
"84",1994,"Bears",126,53,72,1,477,507,1610,4656,4113,1013,159,18,75,364,15,53,712,459,477,93,33,81,54,76,116
"85",1994,"Eagles",126,65,59,2,482,510,1673,4691,4063,1002,166,15,68,416,19,63,696,444,482,113,36,94,66,97,118
"86",1994,"Giants",126,56,67,3,489,604,1498,4710,4175,1072,180,33,58,378,19,52,672,457,489,57,48,175,88,80,95
"87",1994,"Lions",126,60,64,2,541,499,1678,4801,4161,1081,165,22,106,458,21,64,650,510,541,79,39,120,67,95,131
"88",1994,"Raiders",126,47,74,5,494,634,1718,4690,4142,1027,160,20,87,378,19,45,622,455,494,100,23,151,68,86,84
"89",1994,"Tigers",126,65,59,2,563,509,1460,4757,4254,1153,183,17,93,332,20,44,583,534,563,87,37,164,59,75,116
"90",1994,"Twins",126,81,45,0,655,452,1541,4886,4265,1204,205,36,88,455,18,70,573,612,655,54,41,143,61,83,102
"91",1994,"Unicorns",126,68,55,3,485,471,1560,4636,4047,988,179,18,91,385,16,53,750,453,485,126,25,66,64,86,84
"92",1995,"Bears",126,74,47,5,629,500,1580,4853,4342,1154,203,28,106,357,16,52,741,585,629,62,40,121,57,99,106
"93",1995,"Eagles",126,55,71,0,510,566,1727,4755,4161,1037,205,25,96,403,22,63,747,477,510,100,28,97,65,80,98
"94",1995,"Giants",126,68,53,5,590,493,1606,4830,4197,1071,158,51,65,447,22,71,726,552,590,56,59,220,73,74,75
"95",1995,"Lions",126,60,60,6,558,555,1808,4752,4188,1047,199,20,94,384,21,92,723,516,558,55,32,100,44,77,127
"96",1995,"Raiders",126,45,78,3,476,636,1575,4708,4154,1054,165,21,83,381,25,37,600,438,476,103,33,131,70,75,93
"97",1995,"Tigers",126,64,58,4,431,434,1528,4638,4095,989,154,22,75,341,20,77,675,397,431,86,35,130,43,94,105
"98",1995,"Twins",126,74,48,4,527,456,1627,4752,4137,1064,170,34,79,421,20,76,621,472,527,73,45,121,50,90,104
"99",1995,"Unicorns",126,48,73,5,467,548,1578,4657,4119,965,170,20,82,389,15,46,754,436,467,67,35,93,48,90,99
"100",1996,"Bears",126,47,73,6,446,516,1444,4653,4163,1008,178,23,82,327,26,59,721,410,446,75,29,78,53,98,104
"101",1996,"Eagles",126,70,55,1,522,532,1747,4747,4081,1000,203,23,90,432,17,80,836,499,522,123,30,95,72,92,114
"102",1996,"Giants",126,57,63,6,566,580,1607,4812,4244,1161,214,38,72,398,23,50,692,543,566,82,38,139,61,94,93
"103",1996,"Lions",126,54,67,5,510,585,1725,4732,4136,1029,191,23,88,423,19,76,807,478,510,56,37,135,78,77,106
"104",1996,"Raiders",126,70,54,2,545,460,1569,4805,4111,1085,192,33,58,427,34,70,690,489,545,143,47,85,59,89,99
"105",1996,"Tigers",126,73,51,2,515,441,1565,4803,4168,1022,191,18,92,463,31,72,701,510,515,71,29,170,54,83,114
"106",1996,"Twins",126,50,71,5,506,593,1639,4856,4203,1036,164,18,98,441,31,94,612,499,506,92,26,95,57,84,122
"107",1996,"Unicorns",126,67,54,5,493,454,1717,4729,4127,1001,171,21,106,396,35,72,747,462,493,104,30,112,90,66,100
"108",1997,"Bears",126,57,64,5,511,551,1634,4767,4215,1070,159,21,84,382,19,69,717,481,511,70,31,143,53,96,115
"109",1997,"Eagles",126,51,73,2,481,554,1682,4690,4077,1032,180,18,102,381,20,71,779,445,481,128,33,98,74,88,77
"110",1997,"Giants",126,48,77,1,434,621,1623,4599,4066,962,176,20,75,359,16,56,801,411,434,88,29,110,69,89,110
"111",1997,"Lions",126,66,53,7,722,605,1511,4976,4305,1194,254,24,165,456,43,90,804,669,722,88,32,137,80,67,99
"112",1997,"Raiders",126,71,53,2,602,518,1729,4781,4057,1090,201,30,110,490,37,51,693,565,602,139,44,81,60,99,86
"113",1997,"Tigers",126,75,50,1,616,510,1562,4825,4183,1081,208,9,133,466,48,67,722,578,616,78,30,148,62,102,94
"114",1997,"Twins",126,73,51,2,590,512,1472,4821,4153,1109,220,29,83,422,24,90,601,549,590,97,57,137,53,82,94
"115",1997,"Unicorns",126,51,71,4,497,582,1742,4680,4032,994,179,19,82,424,33,72,720,459,497,122,28,112,78,92,107
"116",1998,"Bears",126,61,62,3,520,506,1480,4717,4223,1080,174,28,102,338,17,56,713,479,520,65,34,123,50,87,91
"117",1998,"Eagles",126,55,66,5,503,578,1656,4693,4162,1042,201,10,123,339,23,72,784,472,503,99,21,94,59,94,96
"118",1998,"Giants",126,50,72,4,536,646,1592,4781,4188,1070,200,33,86,403,24,68,829,500,536,89,32,76,54,76,102
"119",1998,"Lions",126,66,58,2,620,584,1542,4918,4263,1143,211,20,143,446,48,80,822,576,620,90,38,117,61,103,79
"120",1998,"Raiders",126,58,66,2,536,570,1531,4773,4170,1089,176,31,101,440,32,33,758,499,536,95,34,93,46,94,95
"121",1998,"Tigers",126,61,64,1,489,531,1490,4678,4129,1067,188,8,94,367,25,57,669,467,489,92,33,58,26,125,98
"122",1998,"Twins",126,63,62,1,609,586,1522,4840,4243,1131,229,21,100,417,17,68,699,567,609,77,35,99,47,94,103
"123",1998,"Unicorns",126,81,45,0,633,445,1620,4779,4161,1123,216,21,142,413,16,74,820,587,633,91,38,134,85,69,108
"124",1999,"Bears",132,76,51,5,721,657,1655,5229,4587,1305,218,31,141,478,21,49,693,693,721,74,41,136,44,126,105
"125",1999,"Eagles",132,72,58,2,731,701,1713,5089,4479,1268,253,29,197,432,14,77,847,687,731,59,42,128,70,107,107
"126",1999,"Giants",132,75,52,5,753,590,1708,5186,4498,1309,261,34,145,465,16,72,815,709,753,99,52,98,68,93,92
"127",1999,"Lions",132,73,57,2,748,748,1594,5254,4555,1244,202,14,207,483,24,96,964,712,748,79,41,140,47,90,85
"128",1999,"Raiders",132,28,97,7,523,826,1639,5054,4462,1108,177,28,86,418,8,64,908,496,523,76,33,126,51,68,110
"129",1999,"Tigers",132,60,69,3,765,743,1591,5256,4549,1264,206,12,210,555,13,58,871,723,765,68,26,98,48,105,123
"130",1999,"Twins",132,61,70,1,744,773,1578,5180,4574,1287,218,40,145,428,16,78,772,700,744,57,43,99,32,91,99
"131",1999,"Unicorns",132,68,59,5,699,646,1639,5260,4456,1210,187,18,143,537,22,98,780,652,699,127,42,109,65,88,108
"132",2000,"Bears",133,76,57,0,694,616,1636,5213,4590,1325,205,21,150,475,10,58,684,661,694,43,47,115,29,120,116
