Date,Team,IsWinner,WinningSeed,LosingSeed
3/17/2023,Arizona State University,No,6,11
3/17/2023,North Carolina State University,No,6,11
3/17/2023,Providence College,No,6,11
3/17/2023,Drake University,No,5,12
3/17/2023,Virginia Commonwealth University,No,5,12
3/17/2023,Iona University,No,4,13
3/17/2023,Kent State University,No,4,13
3/17/2023,Grand Canyon University,No,3,14
3/17/2023,Kennesaw State University,No,3,14
3/17/2023,Montana State University,No,3,14
3/17/2023,UC Santa Barbara,No,3,14
3/17/2023,University of Vermont,No,2,15
3/18/2023,University of Kansas,No,8,1
3/18/2023,Duke University,No,4,5
3/18/2023,Northwestern University,No,2,7
3/18/2023,University of Missouri,No,15,7
3/18/2023,University of Maryland,No,1,8
3/18/2023,Auburn University,No,1,9
3/18/2023,Penn State University,No,2,10
3/18/2023,Furman University,No,5,13
3/19/2023,Marquette University,No,7,2
3/19/2023,Baylor University,No,6,3
3/19/2023,Indiana University Bloomington,No,5,4
3/19/2023,Saint Mary's College,No,4,5
3/19/2023,Texas Christian University,No,3,6
3/19/2023,University of Kentucky,No,3,6
3/19/2023,Pittsburgh University,No,3,11
3/19/2023,Fairleigh Dickinson University,No,9,16
3/23/2023,UCLA,No,3,2
3/23/2023,University of Tennessee Knoxville,No,9,4
3/23/2023,Michigan State University,No,3,7
3/23/2023,University of Arkansas,No,4,8
3/24/2023,University of Alabama,No,5,1
3/24/2023,University of Houston,No,5,1
3/24/2023,Xavier University,No,2,3
3/24/2023,Princeton University,No,6,15
3/25/2023,Gonzaga University,No,4,3
3/25/2023,Kansas State University,No,9,3
3/26/2023,University of Texas at Austin,No,5,2
3/26/2023,Creighton University,No,5,6
4/1/2023,University of Miami,No,4,5
4/1/2023,Florida Atlantic University,No,5,9
4/3/2023,San Diego State University,No,4,5
