"Date","School","Mention_Volume","Seed","Time","TournamentRound","IsWinner","SeedDifference","UpsetWin","UpsetLoss","FavoriteWin","FavoriteLoss","UnderdogWin","UnderdogLoss","SizeSetting","Control","F20Enrollment","Major","EndDate","IsMarchMadness","IsGameDay"
2023-03-12,"University of Tennessee Knoxville",1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",30559,1,2023-03-24,1,0
2023-03-12,"University of Alabama",17820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",22563,1,2023-03-25,1,0
2023-03-12,"University of Kentucky",4696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",29986,1,2023-03-20,1,0
2023-03-12,"University of Arkansas",2151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",27562,1,2023-03-24,1,0
2023-03-12,"University of Missouri",1529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",31089,1,2023-03-19,1,0
2023-03-12,"Texas A&M",3037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",70418,1,2023-03-17,1,0
2023-03-12,"Penn State University",4796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",89816,1,2023-03-19,1,0
2023-03-12,"Kent State University",1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",26822,0,2023-03-18,1,0
2023-03-12,"Princeton University",1843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",7853,0,2023-03-25,1,0
2023-03-12,"UC Santa Barbara",924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",26179,0,2023-03-18,1,0
2023-03-12,"Iona University",765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Private not-for-profit",3590,0,2023-03-18,1,0
2023-03-12,"Purdue University",8869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",46655,1,2023-03-18,1,0
2023-03-12,"University of North Carolina at Asheville",273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, small, highly residential","Public",3363,0,2023-03-17,1,0
2023-03-12,"Southeast Missouri State",229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Public",10001,0,2023-03-15,1,0
2023-03-12,"Kennesaw State University",855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",41181,0,2023-03-18,1,0
2023-03-12,"Drake University",803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",4774,0,2023-03-18,1,0
2023-03-12,"University of Louisiana at Lafayette",510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",16450,0,2023-03-17,1,0
2023-03-12,"Furman University",406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, small, highly residential","Private not-for-profit",2567,0,2023-03-19,1,0
2023-03-12,"Northern Kentucky University",456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",16211,0,2023-03-17,1,0
2023-03-12,"College of Charleston",1507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Public",10384,0,2023-03-17,1,0
2023-03-12,"Oral Roberts University",413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",4317,0,2023-03-17,1,0
2023-03-12,"Fairleigh Dickinson University",255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Private not-for-profit",7479,0,2023-03-20,1,0
2023-03-12,"Texas A&M Corpus Christi",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Public",10820,0,2023-03-17,1,0
2023-03-12,"Gonzaga University",916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",7295,0,2023-03-26,1,0
2023-03-12,"Montana State University",243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",16218,0,2023-03-18,1,0
2023-03-12,"Colgate University",255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",3054,0,2023-03-17,1,0
